Species,Species_with_underscore,Formatted_species,Suborder,Family,Territorial,Oviposition type (endophytic vs exophytic),Flier vs percher,Mate guarding,Abundance,Number of oviposition sites,Oviposition,Temporary vs permanent oviposition site,"Description of lentic oviposition (lake, pond, ditch, pool, puddle)",Lentic size,"Description of lotic oviposition (river, stream)",Lotic vs lentic (breeding habitat),Courtship,Strength of territoriality (strong vs weak),Male territorial polymorphism,Aggressiveness,Lek,Male site fidelity (length of time) ,Territory size,Sex polymorphisms,Sex dimorphisms,Geo polymorphism,Mass of male,Mass of female,Male body length (mm),Max male body length,Female body length (mm),Max female body length,Length of male tibia (mm),Male forewing length,Male hindwing length (mm),Female forewing length (mm),Female hindwing length (mm),Species distribution,Migratory,JNCC Red List status,Conservation status IUCN,Extinction risk category,Oviposition substrate,Habitat breadth,Agonistic display,Aquatic habitat,Ecozone,Climate,Habitat openness,Body pattern,Body colourtype,Body colour,Territorial wing pigmentation,Non-territorial wing pigmentation,Wing pigmentation,Wing pigment pattern,Wing pigment extent discrete,Wing pigment extent continuous,Wing pigment symmetry,Wing pigment dimorphism,Wing pigment colour,Wing pigment placement,Wing pigment colour type,Male wing pigment,Female wing pigment,Sexual wing dichromatism,Male or female biased sexual wing dichromatism,Male dark score,Female dark score,Mean annual temperature,Female has wing pigment (waller 2019),Female wing pigment extent discrete,Female wing pigment extent continuous,Female wing pigment placement,Flight period - start,Flight period - end,Flight period duration (months),Reference,Original source,Original source #2,Original source #3,Original source #4,Original source males,Original source females,Original source - body size,Original source - flight period,Original source - distribution status,Original source - migratory,Original source - distribution status,Original source - red list,Original source - oviposition,Original source - breeding habitat,Original source - breeding habitat
Trithemis imitata,Trithemis_imitata,Trithemis_imitata,,,,,,,,,,,,,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,"(Padilla-Morales et al., 2022)",,,,,,,,,,,,,,,
Trithemis kalula,Trithemis_kalula,Trithemis_kalula,,,,,,,,,,,,,,Lotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,"(Padilla-Morales et al., 2022)",,,,,,,,,,,,,,,
Trithemis monardi,Trithemis_monardi,Trithemis_monardi,,,,,,,,,,,,,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,"(Padilla-Morales et al., 2022)",,,,,,,,,,,,,,,
Trithemis morrisoni,Trithemis_morrisoni,Trithemis_morrisoni,,,,,,,,,,,,,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,"(Padilla-Morales et al., 2022)",,,,,,,,,,,,,,,
Trithemis palustris,Trithemis_palustris,Trithemis_palustris,,,,,,,,,,,,,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,"(Padilla-Morales et al., 2022)",,,,,,,,,,,,,,,
Trithemis persephone,Trithemis_persephone,Trithemis_persephone,,,,,,,,,,,,,,Lotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,"(Padilla-Morales et al., 2022)",,,,,,,,,,,,,,,
Trithemis pluvialis,Trithemis_pluvialis,Trithemis_pluvialis,,,,,,,,,,,,,,Lotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,"(Padilla-Morales et al., 2022)",,,,,,,,,,,,,,,
Trithemis pruinata,Trithemis_pruinata,Trithemis_pruinata,,,,,,,,,,,,,,Lotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,"(Padilla-Morales et al., 2022)",,,,,,,,,,,,,,,
Trithemis selika,Trithemis_selika,Trithemis_selika,,,,,,,,,,,,,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,"(Padilla-Morales et al., 2022)",,,,,,,,,,,,,,,
Trithemis stictica,Trithemis_stictica,Trithemis_stictica,,,,,,,,,,,,,,Lotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,"(Padilla-Morales et al., 2022)",,,,,,,,,,,,,,,
Trithetrum navasi,Trithetrum_navasi,Trithetrum_navasi,,,,,,,,,,,,,,Lotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,"(Padilla-Morales et al., 2022)",,,,,,,,,,,,,,,
Ucaris imbuta,Ucaris_imbuta,Ucaris_imbuta,,,,,,,,,,,,,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,"(Padilla-Morales et al., 2022)",,,,,,,,,,,,,,,
Uracis fastigiata,Uracis_fastigiata,Uracis_fastigiata,,,,,,,,,,,,,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,"(Padilla-Morales et al., 2022)",,,,,,,,,,,,,,,
Uracis infumata,Uracis_infumata,Uracis_infumata,,,,,,,,,,,,,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,"(Padilla-Morales et al., 2022)",,,,,,,,,,,,,,,
Uropetala carovei,Uropetala_carovei,Uropetala_carovei,,,,,,,,,,,,,,Lotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,"(Padilla-Morales et al., 2022)",,,,,,,,,,,,,,,
Urothemis assignata,Urothemis_assignata,Urothemis_assignata,,,,,,,,,,,,,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,"(Padilla-Morales et al., 2022)",,,,,,,,,,,,,,,
Urothemis signata,Urothemis_signata,Urothemis_signata,,,,,,,,,,,,,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,"(Padilla-Morales et al., 2022)",,,,,,,,,,,,,,,
Zenithoptera fasciata,Zenithoptera_fasciata,Zenithoptera_fasciata,,,,,,,,,,,,,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,"(Padilla-Morales et al., 2022)",,,,,,,,,,,,,,,
Zoraena bilineata,Zoraena_bilineata,Zoraena_bilineata,,,,,,,,,,,,,,Lotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,"(Padilla-Morales et al., 2022)",,,,,,,,,,,,,,,
Zygonyx iris,Zygonyx_iris,Zygonyx_iris,,,,,,,,,,,,,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,"(Padilla-Morales et al., 2022)",,,,,,,,,,,,,,,
Zygonyx natalensis,Zygonyx_natalensis,Zygonyx_natalensis,,,,,,,,,,,,,,Lotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,"(Padilla-Morales et al., 2022)",,,,,,,,,,,,,,,
Zygonyx torridus,Zygonyx_torridus,Zygonyx_torridus,,,,,,,,,,,,,,Lotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,"(Padilla-Morales et al., 2022)",,,,,,,,,,,,,,,
Zyxomma elgneri,Zyxomma_elgneri,Zyxomma_elgneri,,,,,,,,,,,,,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,"(Padilla-Morales et al., 2022)",,,,,,,,,,,,,,,
Zyxomma obtusum,Zyxomma_obtusum,Zyxomma_obtusum,,,,,,,,,,,,,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,"(Padilla-Morales et al., 2022)",,,,,,,,,,,,,,,
Zyxomma petiolatum,Zyxomma_petiolatum,Zyxomma_petiolatum,,,,,,,,,,,,,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,"(Padilla-Morales et al., 2022)",,,,,,,,,,,,,,,
Calopteryx aequabilis,Calopteryx_aequabilis,Calopteryx_aequabilis,,,Yes,,Percher,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Calopteryx maculata,Calopteryx_maculata,Calopteryx_maculata,,,Yes,,Percher,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Lestes congener,Lestes_congener,Lestes_congener,,,,Endophytic ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Lestes eurinus,Lestes_eurinus,Lestes_eurinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Enallagma exsulans,Enallagma_exsulans,Enallagma_exsulans,,,,,Percher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Enallagma vesperum,Enallagma_vesperum,Enallagma_vesperum,,,,,Percher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Anax junius,Anax_junius,Anax_junius,,,,Endophytic,Percher,,,,Tandem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Nasiaeschna pentacantha,Nasiaeschna_pentacantha,Nasiaeschna_pentacantha,,,Yes,,Flier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Aeshna sitchensis,Aeshna_sitchensis,Aeshna_sitchensis,,,,Endophytic,Percher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Aeshna clepsydra,Aeshna_clepsydra,Aeshna_clepsydra,,,,,Percher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Stylogomphus albistylus,Stylogomphus_albistylus,Stylogomphus_albistylus,,,,,Percher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Gomphus quadricolor,Gomphus_quadricolor,Gomphus_quadricolor,,,,,Percher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Gomphus discriptus,Gomphus_discriptus,Gomphus_discriptus,,,,,Percher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Gomphus borealis,Gomphus_borealis,Gomphus_borealis,,,,,Percher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Didymops transversa,Didymops_transversa,Didymops_transversa,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Somatochlora minor,Somatochlora_minor,Somatochlora_minor,,,,Exophytic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Somatochlora walshii,Somatochlora_walshii,Somatochlora_walshii,,,,Exophytic,,,,,,,,,Stream,Lotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Somatochlora elongata,Somatochlora_elongata,Somatochlora_elongata,,,,Exophytic,,,,,,,,,Stream,Lotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Somatochlora tenebrosa,Somatochlora_tenebrosa,Somatochlora_tenebrosa,,,,Exophytic,,,,,,,,,Stream,Lotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Somatochlora franklini,Somatochlora_franklini,Somatochlora_franklini,,,,Exophytic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Somatochlora kennedyi,Somatochlora_kennedyi,Somatochlora_kennedyi,,,,Exophytic,,,,Multiple,,,Pond,Medium,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Somatochlora incurvata,Somatochlora_incurvata,Somatochlora_incurvata,,,,Exophytic,,,,,,,Pool,Small,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Somatochlora forcipata,Somatochlora_forcipata,Somatochlora_forcipata,,,,Exophytic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Somatochlora albicincta,Somatochlora_albicincta,Somatochlora_albicincta,,,,Exophytic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Somatochlora cingulata,Somatochlora_cingulata,Somatochlora_cingulata,,,,Exophytic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Neurocordulia yamaskensis,Neurocordulia_yamaskanensis,Neurocordulia_yamaskanensis,,,,Exophytic,,,,,,,,,River,Lotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Neurocordulia michaeli,Neurocordulia_michaeli,Neurocordulia_michaeli,,,,,,,,,,,,,River,Lotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Pachydiplax longipennis,Pachydiplax_longipennis,Pachydiplax_longipennis,,,,,Percher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Pantala hymenaea,Pantala_hymenaea,Pantala_hymenaea,,,,,Flier,,,,,,"Pool, Puddle",Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Celithemis elisa,Celithemis_elisa,Celithemis_elisa,,,,Exophytic,Percher,,,,Tandem,,"Pond, Lake",Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Celithemis eponina,Celithemis_eponina,Celithemis_eponina,,,,Exophytic,,,,,Tandem,,"Pond, Lake",Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Sympetrum vicinum,Sympetrum_vicinum,Sympetrum_vicinum,,,,Exophytic,Percher,,,,Tandem,,"Pond, Lake",Large,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,,,,,,,,,,,,
Calopteryx virgo,Calopteryx_virgo,Calopteryx_virgo,,,Yes,,,Non-contact,,,Alone,,,,"Stream, River",Lotic,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Calopteryx splendens,Calopteryx_splendens,Calopteryx_splendens,,,Yes,,,Non-contact,,,Alone,,,,River,Lotic,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Lestes sponsa,Lestes_sponsa,Lestes_sponsa,,,Yes,Endophytic,,,,,Tandem,,,,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Lestes dryas,Lestes_dryas,Lestes_dryas,,,Yes,Endophytic,,,,,Tandem,,"Ponds, lake, temporary pool",Medium,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Platycnemis pennipes,Platycnemis_pennipes,Platycnemis_pennipes,,,No,,,Contact,,,Tandem,,,,"Stream, River",Lotic,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Pyrrhosoma nymphula,Pyrrhosoma_nymphula,Pyrrhosoma_nymphula,,,Yes,Endophytic,,,,,Tandem,,,,,,,Strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Erythromma najas,Erythromma_najas,Erythromma_najas,,,,Endophytic,,,,,Tandem,,"Lake, pond",Large,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Coenagrion mercuriale,Coenagrion_mercuriale,Coenagrion_mercuriale,,,No,Endophytic,,,,,Tandem,,,,Stream,Lotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Coenagrion scitulum,Coenagrion_scitulum,Coenagrion_scitulum,,,No,Endophytic,,,,,Tandem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Coenagrion hastulatum,Coenagrion_hastulatum,Coenagrion_hastulatum,,,No,,,,,,Tandem,,Pool,Small,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Coenagrion lunalatum,Coenagrion_lunalatum,Coenagrion_lunalatum,,,No,Endophytic,,,,,Tandem,,Lake,Large,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Coenagrion armatum,Coenagrion_armatum,Coenagrion_armatum,,,,,,,,,,,Pond,Medium,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Coenagrion puella,Coenagrion_puella,Coenagrion_puella,,,No,Endophytic,,,,,Tandem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Coenagrion pulchellum,Coenagrion_pulchellum,Coenagrion_pulchellum,,,No,Endophytic,,,,,Tandem,,"Pond, Lake, Pool",Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Enallagma cyathigerum,Enallagma_cyathigerum,Enallagma_cyathigerum,,,,Endophytic,,,,,Tandem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Ischnura pumilio,Ischnura_pumilio,Ischnura_pumilio,,,,Endophytic,,,,,Alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Ischnura elegans,Ischnura_elegans,Ischnura_elegans,,,Yes,Endophytic,,,,,Alone,,,,,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Ceriagrion tenellum,Ceriagrion_tenellum,Ceriagrion_tenellum,,,Yes,Endophytic,,,,,Tandem,,Pool,Small,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Aeshna caerulea,Aeshna_caerulea,Aeshna_caerulea,,,,,,,,,,,Pool,Small,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Aeshna juncea,Aeshna_juncea,Aeshna_juncea,,,Yes,Endophytic,,,,,Alone,,"Pool, Pond, Lake",Medium,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Aeshna mixta,Aeshna_mixta,Aeshna_mixta,,,,Endophytic,,,,,,,"Pond, Lake",Large,,Lentic,,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Aeshna cyanea,Aeshna_cyanea,Aeshna_cyanea,,,Yes,,,,,,,,"Pond, Lake",Large,,Lentic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Aeshna grandis,Aeshna_grandis,Aeshna_grandis,,,Yes,Endophytic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Aeshna isosceles,Aeshna_isosceles,Aeshna_isosceles,,,Yes,Endophytic,,,,,,,,,,,,,,,,,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Anax imperator,Anax_imperator,Anax_imperator,,,Yes,Endophytic,,,,,,,"Pond, Lake",Large,,Lentic,,Strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Brachytron pratense,Brachytron_pratense,Brachytron_pratense,,,Yes,,,,,,,,"Pond, Lake",Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Gomphus vulgatissimus,Gomphus_vulgatissimus,Gomphus_vulgatissimus,,,,Exophytic,,,,,Alone,,"Pond, Lake",Large,River,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Cordulegaster boltonii,Cordulegaster_boltonii,Cordulegaster_boltonii,,,No,Exophytic,,No,,,Alone,,,,"Stream, River",Lotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Cordulia aenea,Cordulia_aenea,Cordulia_aenea,,,,Exophytic,,No,,,Alone,,"Pond, Lake",Large,Stream,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Somatochlora metallica,Somatochlora_metallica,Somatochlora_metallica,,,,,,,,,,,"Pond, Lake",Large,River,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
Somatochlora arctica,Somatochlora_arctica,Somatochlora_arctica,,,,Exophytic,,,,,,,Pool,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,,,,,,,,,,,,
