Species,Formatted_species,Territorial,Oviposition type (endophytic vs exophytic),Flier vs percher,Mate guarding,Abundance,Oviposition,Temporary vs permanent oviposition site,"Description of lentic oviposition (lake, pond, ditch, pool, puddle)",Lentic size,"Description of lotic oviposition (river, stream)",Lotic vs lentic (breeding habitat),Courtship,Redlist category,Strength of territoriality (strong vs weak),Reference,Original source,Original source #2,Original source #3,Original source #4
Neurogomphus cocytius,Neurogomphus_cocytius,,,,,,,,,,,,,Least Concern,,,,,,
Paragomphus crenigomphoides,Paragomphus_crenigomphoides,,,,,,,,,,,,,Near Threatened,,,,,,
Paragomphus kiautai,Paragomphus_kiautai,,,,,,,,,,,,,Least Concern,,,,,,
Paragomphus machadoi,Paragomphus_machadoi,,,,,,,,,,,,,Least Concern,,,,,,
Paragomphus tournieri,Paragomphus_tournieri,,,,,,,,,,,,,Least Concern,,,,,,
Phyllogomphus schoutedeni,Phyllogomphus_schoutedeni,,,,,,,,,,,,,Data Deficient,,,,,,
Cordulegaster princeps,Cordulegaster_princeps,,,,,,,,,,,,,Least Concern,,,,,,
Phyllomacromia lamottei,Phyllomacromia_lamottei,,,,,,,,,,,,,Near Threatened,,,,,,
Phyllomacromia occidentalis,Phyllomacromia_occidentalis,,,,,,,,,,,,,Least Concern,,,,,,
Phyllomacromia villiersi,Phyllomacromia_villiersi,,,,,,,,,,,,,Least Concern,,,,,,
Aethiothemis mediofasciata,Aethiothemis_mediofasciata,,,,,,,,,,,,,Least Concern,,,,,,
Eleuthemis buettikoferi,Eleuthemis_buettikoferi,,,,,,,,,,,,,Least Concern,,,,,,
Malgassophlebia westfalli,Malgassophlebia_westfalli,,,,,,,,,,,,,Least Concern,,,,,,
Micromacromia flava,Micromacromia_flava,,,,,,,,,,,,,Near Threatened,,,,,,
Neodythemis fitzgeraldi,Neodythemis_fitzgeraldi,,,,,,,,,,,,,Least Concern,,,,,,
Neodythemis munyaga,Neodythemis_munyaga,,,,,,,,,,,,,Endangered,,,,,,
Neodythemis nyungwe,Neodythemis_nyungwe,,,,,,,,,,,,,Vulnerable,,,,,,
Neodythemis takamandensis,Neodythemis_takamandensis,,,,,,,,,,,,,Least Concern,,,,,,
Orthetrum sagitta,Orthetrum_sagitta,,,,,,,,,,,,,Least Concern,,,,,,
Tetrathemis fraseri,Tetrathemis_fraseri,,,,,,,,,,,,,Least Concern,,,,,,
Trithemis hartwigi,Trithemis_hartwigi,,,,,,,,,,,,,Least Concern,,,,,,
Trithemis nigra,Trithemis_nigra,,,,,,,,,,,,,Near Threatened,,,,,,
Trithemis osvaldae,Trithemis_osvaldae,,,,,,,,,,,,,Least Concern,,,,,,
Trithemis dubia,Trithemis_dubia,,,,,,,,,,,,,Data Deficient,,,,,,
Trithemis fumosa,Trithemis_fumosa,,,,,,,,,,,,,Least Concern,,,,,,
Urothemis luciana,Urothemis_luciana,,,,,,,,,,,,,Near Threatened,,,,,,
Tragogomphus ellioti,Tragogomphus_ellioti,,,,,,,,,,,,,Least Concern,,,,,,
Stenocnemis pachystigma,Stenocnemis_pachystigma,,,,,,,,,,,,,Least Concern,,,,,,
Metacnemis valida,Metacnemis_valida,,,,,,,,,,,,,Endangered,,,,,,
Elattoneura perisi,Elattoneura_perisi,,,,,,,,,,,,,Data Deficient,,,,,,
Ceriagrion tricrenaticeps,Ceriagrion_tricrenaticeps,,,,,,,,,,,,,Least Concern,,,,,,
Argia anceps,Argia_anceps,,,,,,,,,,,,,Least Concern,,,,,,
Ischnura gemina,Ischnura_gemina,,,,,,,,,,,,,Endangered,,,,,,
Progomphus alachuensis,Progomphus_alachuensis,,,,,,,,,,,,,Least Concern,,,,,,
Libellula jesseana,Libellula_jesseana,,,,,,,,,,,,,Vulnerable,,,,,,
Arigomphus submedianus,Arigomphus_submedianus,,,,,,,,,,,,,Least Concern,,,,,,
Progomphus borealis,Progomphus_borealis,,,,,,,,,,,,,Least Concern,,,,,,
Enallagma pollutum,Enallagma_pollutum,,,,,,,,,,,,,Least Concern,,,,,,
Crocothemis servilia,Crocothemis_servilia,,,,,,,,,,,,,Least Concern,,,,,,
Oplonaeschna armata,Oplonaeschna_armata,,,,,,,,,,,,,Least Concern,,,,,,
Didymops floridensis,Didymops_floridensis,,,,,,,,,,,,,Least Concern,,,,,,
Planiplax sanguiniventris,Planiplax_sanguiniventris,,,,,,,,,,,,,Least Concern,,,,,,
Erpetogomphus compositus,Erpetogomphus_compositus,,,,,,,,,,,,,Least Concern,,,,,,
Stylogomphus sigmastylus,Stylogomphus_sigmastylus,,,,,,,,,,,,,Least Concern,,,,,,
Erythrodiplax minuscula,Erythrodiplax_minuscula,,,,,,,,,,,,,Least Concern,,,,,,
Erpetogomphus designatus,Erpetogomphus_designatus,,,,,,,,,,,,,Least Concern,,,,,,
Erpetogomphus eutainia,Erpetogomphus_eutainia,,,,,,,,,,,,,Least Concern,,,,,,
Argia tezpi,Argia_tezpi,,,,,,,,,,,,,Least Concern,,,,,,
Erpetogomphus elaps,Erpetogomphus_elaps,,,,,,,,,,,,,Least Concern,,,,,,
Argia tonto,Argia_tonto,,,,,,,,,,,,,Least Concern,,,,,,
Dythemis velox,Dythemis_velox,,,,,,,,,,,,,Least Concern,,,,,,
Ischnura prognata,Ischnura_prognata,,,,,,,,,,,,,Least Concern,,,,,,
Erpetogomphus crotalinus,Erpetogomphus_crotalinus,,,,,,,,,,,,,Least Concern,,,,,,
Libellula croceipennis,Libellula_croceipennis,,,,,,,,,,,,,Least Concern,,,,,,
Argia munda,Argia_munda,,,,,,,,,,,,,Least Concern,,,,,,
Argia tarascana,Argia_tarascana,,,,,,,,,,,,,Least Concern,,,,,,
Hesperagrion heterodoxum,Hesperagrion_heterodoxum,,,,,,,,,,,,,Least Concern,,,,,,
Argia nahuana,Argia_nahuana,,,,,,,,,,,,,Least Concern,,,,,,
Argia oenea,Argia_oenea,,,,,,,,,,,,,Least Concern,,,,,,
Tauriphila azteca,Tauriphila_azteca,,,,,,,,,,,,,Least Concern,,,,,,
Ischnura denticollis,Ischnura_denticollis,,,,,,,,,,,,,Least Concern,,,,,,
Erythrodiplax basifusca,Erythrodiplax_basifusca,,,,,,,,,,,,,Least Concern,,,,,,
Enallagma pallidum,Enallagma_pallidum,,,,,,,,,,,,,Least Concern,,,,,,
Ischnura demorsa,Ischnura_demorsa,,,,,,,,,,,,,Least Concern,,,,,,
Aphylla angustifolia,Aphylla_angustifolia,,,,,,,,,,,,,Least Concern,,,,,,
Epitheca costalis,Epitheca_costalis,,,,,,,,,,,,,Least Concern,,,,,,
Epitheca petechialis,Epitheca_petechialis,,,,,,,,,,,,,Least Concern,,,,,,
Leptobasis lucifer,Leptobasis_lucifer,,,,,,,,,,,,,Data Deficient,,,,,,
Arigomphus lentulus,Arigomphus_lentulus,,,,,,,,,,,,,Least Concern,,,,,,
Arigomphus maxwelli,Arigomphus_maxwelli,,,,,,,,,,,,,Least Concern,,,,,,
Sympetrum signiferum,Sympetrum_signiferum,,,,,,,,,,,,,Least Concern,,,,,,
Arigomphus pallidus,Arigomphus_pallidus,,,,,,,,,,,,,Least Concern,,,,,,
Enallagma daeckii,Enallagma_daeckii,,,,,,,,,,,,,Least Concern,,,,,,
Enallagma doubledayi,Enallagma_doubledayi,,,,,,,,,,,,,Least Concern,,,,,,
Orthemis ferruginea,Orthemis_ferruginea,,,,,,,,,,,,,Least Concern,,,,,,
Nehalennia integricollis,Nehalennia_integricollis,,,,,,,,,,,,,Least Concern,,,,,,
Brachymesia gravida,Brachymesia_gravida,,,,,,,,,,,,,Least Concern,,,,,,
Cordulegaster diadema,Cordulegaster_diadema,,,,,,,,,,,,,Least Concern,,,,,,
Macromia annulata,Macromia_annulata,,,,,,,,,,,,,Least Concern,,,,,,
Neurocordulia obsoleta,Neurocordulia_obsoleta,,,,,,,,,,,,,Least Concern,,,,,,
Erythemis vesiculosa,Erythemis_vesiculosa,,,,,,,,,,,,,Least Concern,,,,,,
Coryphaeschna adnexa,Coryphaeschna_adnexa,,,,,,,,,,,,,Least Concern,,,,,,
Pseudoleon superbus,Pseudoleon_superbus,,,,,,,,,,,,,Least Concern,,,,,,
Argia bipunctulata,Argia_bipunctulata,,,,,,,,,,,,,Least Concern,,,,,,
Celithemis bertha,Celithemis_bertha,,,,,,,,,,,,,Least Concern,,,,,,
Cordulegaster sarracenia,Cordulegaster_sarracenia,,,,,,,,,,,,,Endangered,,,,,,
Brachymesia herbida,Brachymesia_herbida,,,,,,,,,,,,,Least Concern,,,,,,
Macrothemis inequiunguis,Macrothemis_inequiunguis,,,,,,,,,,,,,Least Concern,,,,,,
Anax walsinghami,Anax_walsinghami,,,,,,,,,,,,,Least Concern,,,,,,
Aphylla protracta,Aphylla_protracta,,,,,,,,,,,,,Least Concern,,,,,,
Apanisagrion lais,Apanisagrion_lais,,,,,,,,,,,,,Least Concern,,,,,,
Argia barretti,Argia_barretti,,,,,,,,,,,,,Least Concern,,,,,,
Gomphurus crassus,Gomphurus_crassus,,,,,,,,,,,,,Least Concern,,,,,,
Argia agrioides,Argia_agrioides,,,,,,,,,,,,,Least Concern,,,,,,
Gomphaeschna antilope,Gomphaeschna_antilope,,,,,,,,,,,,,Least Concern,,,,,,
Enallagma durum,Enallagma_durum,,,,,,,,,,,,,Least Concern,,,,,,
Enallagma davisi,Enallagma_davisi,,,,,,,,,,,,,Least Concern,,,,,,
Tramea calverti,Tramea_calverti,,,,,,,,,,,,,Least Concern,,,,,,
Telebasis digiticollis,Telebasis_digiticollis,,,,,,,,,,,,,Least Concern,,,,,,
Ischnura barberi,Ischnura_barberi,,,,,,,,,,,,,Least Concern,,,,,,
Enallagma semicirculare,Enallagma_semicirculare,,,,,,,,,,,,,Least Concern,,,,,,
Nehalennia minuta,Nehalennia_minuta,,,,,,,,,,,,,Least Concern,,,,,,
Phanogomphus westfalli,Phanogomphus_westfalli,,,,,,,,,,,,,Near Threatened,,,,,,
Phyllogomphoides albrighti,Phyllogomphoides_albrighti,,,,,,,,,,,,,Least Concern,,,,,,
Ophiogomphus bison,Ophiogomphus_bison,,,,,,,,,,,,,Least Concern,,,,,,
Tachopteryx thoreyi,Tachopteryx_thoreyi,,,,,,,,,,,,,Least Concern,,,,,,
Enallagma pictum,Enallagma_pictum,,,,,,,,,,,,,Least Concern,,,,,,
Miathyria marcella,Miathyria_marcella,,,,,,,,,,,,,Least Concern,,,,,,
Argia sabino,Argia_sabino,,,,,,,,,,,,,Least Concern,,,,,,
Ophiogomphus australis,Ophiogomphus_australis,,,,,,,,,,,,,Near Threatened,,,,,,
Argia leonorae,Argia_leonorae,,,,,,,,,,,,,Least Concern,,,,,,
Argia rhoadsi,Argia_rhoadsi,,,,,,,,,,,,,Least Concern,,,,,,
Argia immunda,Argia_immunda,,,,,,,,,,,,,Least Concern,,,,,,
Micrathyria dissocians,Micrathyria_dissocians,,,,,,,,,,,,,Least Concern,,,,,,
Ischnura ramburii,Ischnura_ramburii,,,,,,,,,,,,,Least Concern,,,,,,
Lestes spumarius,Lestes_spumarius,,,,,,,,,,,,,Least Concern,,,,,,
Dythemis fugax,Dythemis_fugax,,,,,,,,,,,,,Least Concern,,,,,,
Micrathyria hagenii,Micrathyria_hagenii,,,,,,,,,,,,,Least Concern,,,,,,
Neoneura amelia,Neoneura_amelia,,,,,,,,,,,,,Least Concern,,,,,,
Rhionaeschna dugesi,Rhionaeschna_dugesi,,,,,,,,,,,,,Least Concern,,,,,,
Argia lacrimans,Argia_lacrimans,,,,,,,,,,,,,Least Concern,,,,,,
Perithemis domitia,Perithemis_domitia,,,,,,,,,,,,,Least Concern,,,,,,
Phyllogomphoides stigmatus,Phyllogomphoides_stigmatus,,,,,,,,,,,,,Least Concern,,,,,,
Neurocordulia virginiensis,Neurocordulia_virginiensis,,,,,,,,,,,,,Least Concern,,,,,,
Argia alberta,Argia_alberta,,,,,,,,,,,,,Least Concern,,,,,,
Neurocordulia alabamensis,Neurocordulia_alabamensis,,,,,,,,,,,,,Least Concern,,,,,,
Macrothemis inacuta,Macrothemis_inacuta,,,,,,,,,,,,,Least Concern,,,,,,
Argia harknessi,Argia_harknessi,,,,,,,,,,,,,Least Concern,,,,,,
Plathemis subornata,Plathemis_subornata,,,,,,,,,,,,,Least Concern,,,,,,
Gynacantha nervosa,Gynacantha_nervosa,,,,,,,,,,,,,Least Concern,,,,,,
Cordulegaster talaria,Cordulegaster_talaria,,,,,,,,,,,,,Least Concern,,,,,,
Enallagma praevarum,Enallagma_praevarum,,,,,,,,,,,,,Least Concern,,,,,,
Neoerythromma cultellatum,Neoerythromma_cultellatum,,,,,,,,,,,,,Least Concern,,,,,,
Argia hinei,Argia_hinei,,,,,,,,,,,,,Least Concern,,,,,,
Argia extranea,Argia_extranea,,,,,,,,,,,,,Least Concern,,,,,,
Lestes alacer,Lestes_alacer,,,,,,,,,,,,,Least Concern,,,,,,
Stylurus ivae,Stylurus_ivae,,,,,,,,,,,,,Least Concern,,,,,,
Coryphaeschna ingens,Coryphaeschna_ingens,,,,,,,,,,,,,Least Concern,,,,,,
Dromogomphus armatus,Dromogomphus_armatus,,,,,,,,,,,,,Least Concern,,,,,,
Libellula cyanea,Libellula_cyanea,,,,,,,,,,,,,Least Concern,,,,,,
Ophiogomphus susbehcha,Ophiogomphus_susbehcha,,,,,,,,,,,,,Least Concern,,,,,,
Argia pallens,Argia_pallens,,,,,,,,,,,,,Least Concern,,,,,,
Zoniagrion exclamationis,Zoniagrion_exclamationis,,,,,,,,,,,,,Least Concern,,,,,,
Ophiogomphus arizonicus,Ophiogomphus_arizonicus,,,,,,,,,,,,,Least Concern,,,,,,
Anax concolor,Anax_concolor,,,,,,,,,,,,,Least Concern,,,,,,
Triacanthagyna trifida,Triacanthagyna_trifida,,,,,,,,,,,,,Least Concern,,,,,,
Argia cuprea,Argia_cuprea,,,,,,,,,,,,,Least Concern,,,,,,
Argia plana,Argia_plana,,,,,,,,,,,,,Least Concern,,,,,,
Erythemis mithroides,Erythemis_mithroides,,,,,,,,,,,,,Least Concern,,,,,,
Phyllocycla breviphylla,Phyllocycla_breviphylla,,,,,,,,,,,,,Least Concern,,,,,,
Enallagma divagans,Enallagma_divagans,,,,,,,,,,,,,Least Concern,,,,,,
Argia carlcooki,Argia_carlcooki,,,,,,,,,,,,,Least Concern,,,,,,
Enallagma dubium,Enallagma_dubium,,,,,,,,,,,,,Least Concern,,,,,,
Argia lugens,Argia_lugens,,,,,,,,,,,,,Least Concern,,,,,,
Hylogomphus geminatus,Hylogomphus_geminatus,,,,,,,,,,,,,Least Concern,,,,,,
Archilestes californicus,Archilestes_californicus,,,,,,,,,,,,,Least Concern,,,,,,
Erythemis plebeja,Erythemis_plebeja,,,,,,,,,,,,,Least Concern,,,,,,
Stenogomphurus consanguis,Stenogomphurus_consanguis,,,,,,,,,,,,,Least Concern,,,,,,
Hetaerina vulnerata,Hetaerina_vulnerata,,,,,,,,,,,,,Least Concern,,,,,,
Gomphurus lynnae,Gomphurus_lynnae,,,,,,,,,,,,,Least Concern,,,,,,
Somatochlora georgiana,Somatochlora_georgiana,,,,,,,,,,,,,Data Deficient,,,,,,
Libellula comanche,Libellula_comanche,,,,,,,,,,,,,Least Concern,,,,,,
Brechmorhoga mendax,Brechmorhoga_mendax,,,,,,,,,,,,,Least Concern,,,,,,
Epitheca spinosa,Epitheca_spinosa,,,,,,,,,,,,,Least Concern,,,,,,
Enallagma eiseni,Enallagma_eiseni,,,,,,,,,,,,,Least Concern,,,,,,
Cordulegaster sayi,Cordulegaster_sayi,,,,,,,,,,,,,Least Concern,,,,,,
Epitheca stella,Epitheca_stella,,,,,,,,,,,,,Least Concern,,,,,,
Somatochlora filosa,Somatochlora_filosa,,,,,,,,,,,,,Least Concern,,,,,,
Helocordulia selysii,Helocordulia_selysii,,,,,,,,,,,,,Least Concern,,,,,,
Macromia margarita,Macromia_margarita,,,,,,,,,,,,,Least Concern,,,,,,
Erpetogomphus heterodon,Erpetogomphus_heterodon,,,,,,,,,,,,,Least Concern,,,,,,
Argia pima,Argia_pima,,,,,,,,,,,,,Least Concern,,,,,,
Enallagma laterale,Enallagma_laterale,,,,,,,,,,,,,Least Concern,,,,,,
Enallagma cardenium,Enallagma_cardenium,,,,,,,,,,,,,Least Concern,,,,,,
Gomphurus gonzalezi,Gomphurus_gonzalezi,,,,,,,,,,,,,Data Deficient,,,,,,
Macromia alleghaniensis,Macromia_alleghaniensis,,,,,,,,,,,,,Least Concern,,,,,,
Lestes sigma,Lestes_sigma,,,,,,,,,,,,,Least Concern,,,,,,
Leptobasis melinogaster,Leptobasis_melinogaster,,,,,,,,,,,,,Vulnerable,,,,,,
Macromia pacifica,Macromia_pacifica,,,,,,,,,,,,,Least Concern,,,,,,
Aeshna walkeri,Aeshna_walkeri,,,,,,,,,,,,,Least Concern,,,,,,
Erpetogomphus lampropeltis,Erpetogomphus_lampropeltis,,,,,,,,,,,,,Least Concern,,,,,,
Lestes stultus,Lestes_stultus,,,,,,,,,,,,,Least Concern,,,,,,
Neurocordulia molesta,Neurocordulia_molesta,,,,,,,,,,,,,Least Concern,,,,,,
Neurocordulia xanthosoma,Neurocordulia_xanthosoma,,,,,,,,,,,,,Least Concern,,,,,,
Lestes vidua,Lestes_vidua,,,,,,,,,,,,,Least Concern,,,,,,
Somatochlora provocans,Somatochlora_provocans,,,,,,,,,,,,,Least Concern,,,,,,
Ladona deplanata,Ladona_deplanata,,,,,,,,,,,,,Least Concern,,,,,,
Aeshna persephone,Aeshna_persephone,,,,,,,,,,,,,Least Concern,,,,,,
Phanogomphus sandrius,Phanogomphus_sandrius,,,,,,,,,,,,,Vulnerable,,,,,,
Phanogomphus diminutus,Phanogomphus_diminutus,,,,,,,,,,,,,Least Concern,,,,,,
Palaemnema domina,Palaemnema_domina,,,,,,,,,,,,,Least Concern,,,,,,
Gomphurus septima,Gomphurus_septima,,,,,,,,,,,,,Least Concern,,,,,,
Macrodiplax balteata,Macrodiplax_balteata,,,,,,,,,,,,,Least Concern,,,,,,
Enallagma sulcatum,Enallagma_sulcatum,,,,,,,,,,,,,Least Concern,,,,,,
Calopteryx dimidiata,Calopteryx_dimidiata,,,,,,,,,,,,,Least Concern,,,,,,
Calopteryx angustipennis,Calopteryx_angustipennis,,,,,,,,,,,,,Least Concern,,,,,,
Triacanthagyna caribbea,Triacanthagyna_caribbea,,,,,,,,,,,,,Least Concern,,,,,,
Neoneura aaroni,Neoneura_aaroni,,,,,,,,,,,,,Least Concern,,,,,,
Leptobasis vacillans,Leptobasis_vacillans,,,,,,,,,,,,,Least Concern,,,,,,
Protoneura cara,Protoneura_cara,,,,,,,,,,,,,Least Concern,,,,,,
Tramea insularis,Tramea_insularis,,,,,,,,,,,,,Least Concern,,,,,,
Remartinia luteipennis,Remartinia_luteipennis,,,,,,,,,,,,,Least Concern,,,,,,
Acanthagrion quadratum,Acanthagrion_quadratum,,,,,,,,,,,,,Least Concern,,,,,,
Epitheca sepia,Epitheca_sepia,,,,,,,,,,,,,Least Concern,,,,,,
Stylurus potulentus,Stylurus_potulentus,,,,,,,,,,,,,Vulnerable,,,,,,
Stylurus townesi,Stylurus_townesi,,,,,,,,,,,,,Least Concern,,,,,,
Dythemis maya,Dythemis_maya,,,,,,,,,,,,,Least Concern,,,,,,
Libellula axilena,Libellula_axilena,,,,,,,,,,,,,Least Concern,,,,,,
Dythemis nigrescens,Dythemis_nigrescens,,,,,,,,,,,,,Least Concern,,,,,,
Libellula auripennis,Libellula_auripennis,,,,,,,,,,,,,Least Concern,,,,,,
Enallagma weewa,Enallagma_weewa,,,,,,,,,,,,,Least Concern,,,,,,
Paltothemis lineatipes,Paltothemis_lineatipes,,,,,,,,,,,,,Least Concern,,,,,,
Ophiogomphus morrisoni,Ophiogomphus_morrisoni,,,,,,,,,,,,,Least Concern,,,,,,
Cordulegaster bilineata,Cordulegaster_bilineata,,,,,,,,,,,,,Least Concern,,,,,,
Ophiogomphus westfalli,Ophiogomphus_westfalli,,,,,,,,,,,,,Least Concern,,,,,,
Nehalennia pallidula,Nehalennia_pallidula,,,,,,,,,,,,,Near Threatened,,,,,,
Progomphus bellei,Progomphus_bellei,,,,,,,,,,,,,Least Concern,,,,,,
Williamsonia lintneri,Williamsonia_lintneri,,,,,,,,,,,,,Least Concern,,,,,,
Celithemis ornata,Celithemis_ornata,,,,,,,,,,,,,Least Concern,,,,,,
Libellula saturata,Libellula_saturata,,,,,,,,,,,,,Least Concern,,,,,,
Ophiogomphus smithi,Ophiogomphus_smithi,,,,,,,,,,,,,Least Concern,,,,,,
Libellula composita,Libellula_composita,,,,,,,,,,,,,Least Concern,,,,,,
Celithemis verna,Celithemis_verna,,,,,,,,,,,,,Least Concern,,,,,,
Celithemis amanda,Celithemis_amanda,,,,,,,,,,,,,Least Concern,,,,,,
Enallagma concisum,Enallagma_concisum,,,,,,,,,,,,,Least Concern,,,,,,
Cannaphila insularis,Cannaphila_insularis,,,,,,,,,,,,,Least Concern,,,,,,
Ophiogomphus edmundo,Ophiogomphus_edmundo,,,,,,,,,,,,,Near Threatened,,,,,,
Enallagma recurvatum,Enallagma_recurvatum,,,,,,,,,,,,,Least Concern,,,,,,
Ophiogomphus incurvatus,Ophiogomphus_incurvatus,,,,,,,,,,,,,Least Concern,,,,,,
Libellula needhami,Libellula_needhami,,,,,,,,,,,,,Least Concern,,,,,,
Perithemis intensa,Perithemis_intensa,,,,,,,,,,,,,Least Concern,,,,,,
Libellula nodisticta,Libellula_nodisticta,,,,,,,,,,,,,Least Concern,,,,,,
Idiataphe cubensis,Idiataphe_cubensis,,,,,,,,,,,,,Least Concern,,,,,,
Libellula flavida,Libellula_flavida,,,,,,,,,,,,,Least Concern,,,,,,
Libellula gaigei,Libellula_gaigei,,,,,,,,,,,,,Data Deficient,,,,,,
Somatochlora calverti,Somatochlora_calverti,,,,,,,,,,,,,Data Deficient,,,,,,
Somatochlora ozarkensis,Somatochlora_ozarkensis,,,,,,,,,,,,,Near Threatened,,,,,,
Lyriothemis hirundo,Lyriothemis_hirundo,,,,,,,,,,,,,Least Concern,,,,,,
Protorthemis coronata,Protorthemis_coronata,,,,,,,,,,,,,Least Concern,,,,,,
Nannodiplax rubra,Nannodiplax_rubra,,,,,,,,,,,,,Least Concern,,,,,,
Neurothemis decora,Neurothemis_decora,,,,,,,,,,,,,Least Concern,,,,,,
Neurothemis luctuosa,Neurothemis_luctuosa,,,,,,,,,,,,,Data Deficient,,,,,,
Neurothemis oligoneura,Neurothemis_oligoneura,,,,,,,,,,,,,Least Concern,,,,,,
Neurothemis ramburii,Neurothemis_ramburii,,,,,,,,,,,,,Least Concern,,,,,,
Neurothemis stigmatizans,Neurothemis_stigmatizans,,,,,,,,,,,,,Least Concern,,,,,,
Ictinogomphus australis,Ictinogomphus_australis,,,,,,,,,,,,,Least Concern,,,,,,
Nesoxenia mysis,Nesoxenia_mysis,,,,,,,,,,,,,Least Concern,,,,,,
Rhodothemis nigripes,Rhodothemis_nigripes,,,,,,,,,,,,,Least Concern,,,,,,
Rhodothemis mauritsi,Rhodothemis_mauritsi,,,,,,,,,,,,,Data Deficient,,,,,,
Rhodothemis lieftincki,Rhodothemis_lieftincki,,,,,,,,,,,,,Least Concern,,,,,,
Rhodothemis rufa,Rhodothemis_rufa,,,,,,,,,,,,,Least Concern,,,,,,
Ischnura aurora,Ischnura_aurora,,,,,,,,,,,,,Least Concern,,,,,,
Diplacodes trivialis,Diplacodes_trivialis,,,,,,,,,,,,,Least Concern,,,,,,
Anax papuensis,Anax_papuensis,,,,,,,,,,,,,Least Concern,,,,,,
Adversaeschna brevistyla,Adversaeschna_brevistyla,,,,,,,,,,,,,Least Concern,,,,,,
Teinobasis obtusilingua,Teinobasis_obtusilingua,,,,,,,,,,,,,Data Deficient,,,,,,
Nososticta salomonis,Nososticta_salomonis,,,,,,,,,,,,,Data Deficient,,,,,,
Xanthocnemis zealandica,Xanthocnemis_zealandica,,,,,,,,,,,,,Least Concern,,,,,,
Xanthocnemis tuanuii,Xanthocnemis_tuanuii,,,,,,,,,,,,,Least Concern,,,,,,
Austrolestes colensonis,Austrolestes_colensonis,,,,,,,,,,,,,Least Concern,,,,,,
Agriocnemis salomonis,Agriocnemis_salomonis,,,,,,,,,,,,,Data Deficient,,,,,,
Tramea loewii,Tramea_loewii,,,,,,,,,,,,,Least Concern,,,,,,
Diplacodes bipunctata,Diplacodes_bipunctata,,,,,,,,,,,,,Least Concern,,,,,,
Procordulia grayi,Procordulia_grayi,,,,,,,,,,,,,Least Concern,,,,,,
Uropetala chiltoni,Uropetala_chiltoni,,,,,,,,,,,,,Least Concern,,,,,,
Agyrtacantha dirupta,Agyrtacantha_dirupta,,,,,,,,,,,,,Least Concern,,,,,,
Orthetrum serapia,Orthetrum_serapia,,,,,,,,,,,,,Least Concern,,,,,,
Uropetala carovei,Uropetala_carovei,,,,,,,,,,,,,Least Concern,,,,,,
Nesobasis campioni,Nesobasis_campioni,,,,,,,,,,,,,Least Concern,,,,,,
Teinobasis rufithorax,Teinobasis_rufithorax,,,,,,,,,,,,,Least Concern,,,,,,
Lathrecista asiatica,Lathrecista_asiatica,,,,,,,,,,,,,Least Concern,,,,,,
Lieftinckia salomonis,Lieftinckia_salomonis,,,,,,,,,,,,,Data Deficient,,,,,,
Nesobasis erythrops,Nesobasis_erythrops,,,,,,,,,,,,,Least Concern,,,,,,
Ischnura cardinalis,Ischnura_cardinalis,,,,,,,,,,,,,Data Deficient,,,,,,
Nesobasis comosa,Nesobasis_comosa,,,,,,,,,,,,,Least Concern,,,,,,
Amorphostigma armstrongi,Amorphostigma_armstrongi,,,,,,,,,,,,,Least Concern,,,,,,
Agrionoptera insignis,Agrionoptera_insignis,,,,,,,,,,,,,Least Concern,,,,,,
Salomocnemis gerdae,Salomocnemis_gerdae,,,,,,,,,,,,,Data Deficient,,,,,,
Ischnura chromostigma,Ischnura_chromostigma,,,,,,,,,,,,,Data Deficient,,,,,,
Pseudagrion incisurum,Pseudagrion_incisurum,,,,,,,,,,,,,Least Concern,,,,,,
Hydrobasileus brevistylus,Hydrobasileus_brevistylus,,,,,,,,,,,,,Least Concern,,,,,,
Agriocnemis pygmaea,Agriocnemis_pygmaea,,,,,,,,,,,,,Least Concern,,,,,,
Teinobasis palauensis,Teinobasis_palauensis,,,,,,,,,,,,,Endangered,,,,,,
Aethriamanta brevipennis,Aethriamanta_brevipennis,,,,,,,,,,,,,Least Concern,,,,,,
Hemicordulia cupricolor,Hemicordulia_cupricolor,,,,,,,,,,,,,Data Deficient,,,,,,
Nesobasis caerulecaudata,Nesobasis_caerulecaudata,,,,,,,,,,,,,Vulnerable,,,,,,
Amorphostigma auricolor,Amorphostigma_auricolor,,,,,,,,,,,,,Data Deficient,,,,,,
Ischnura taitensis,Ischnura_taitensis,,,,,,,,,,,,,Data Deficient,,,,,,
Indolestes cheesmanae,Indolestes_cheesmanae,,,,,,,,,,,,,Near Threatened,,,,,,
Melanesobasis flavilabris,Melanesobasis_flavilabris,,,,,,,,,,,,,Least Concern,,,,,,
Vanuatubasis bidens,Vanuatubasis_bidens,,,,,,,,,,,,,Data Deficient,,,,,,
Gynacantha amphora,Gynacantha_amphora,,,,,,,,,,,,,Data Deficient,,,,,,
Guadalca insularis,Guadalca_insularis,,,,,,,,,,,,,Data Deficient,,,,,,
Pacificagrion lachrymosa,Pacificagrion_lachrymosa,,,,,,,,,,,,,Data Deficient,,,,,,
Melanesobasis prolixa,Melanesobasis_prolixa,,,,,,,,,,,,,Data Deficient,,,,,,
Hemicordulia tau,Hemicordulia_tau,,,,,,,,,,,,,Least Concern,,,,,,
Tramea transmarina,Tramea_transmarina,,,,,,,,,,,,,Least Concern,,,,,,
