Species,Formatted_species,Territorial,Oviposition type (endophytic vs exophytic),Flier vs percher,Mate guarding,Abundance,Oviposition,Temporary vs permanent oviposition site,"Description of lentic oviposition (lake, pond, ditch, pool, puddle)",Lentic size,"Description of lotic oviposition (river, stream)",Lotic vs lentic (breeding habitat),Courtship,Redlist category,Strength of territoriality (strong vs weak),Reference,Original source,Original source #2,Original source #3,Original source #4
Plathemis lydia,Plathemis_lydia,Yes,,,Non-contact,,,,,,,,,,,Koenig and Albano 1985,,,,
Platycnemis pennipes,Platycnemis_pennipes,No,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Brooks & Lewington, 2004)","Natural History Museum, Odonata collection, UK",,
Pseudostigma aberrans,Pseudostigma_aberrans,No,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Natural History Museum, Odonata collection, UK","Novelo-Gutiérrez R, pers. Comm",,
Sapho bicolor,Sapho_bicolor,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Natural History Museum, Odonata collection, UK","(Silsby & Parr, 2001)",,
Somatochlora metallica,Somatochlora_metallica,No,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Brooks & Lewington, 2004)","Natural History Museum, Odonata collection, UK",,
Stylurus amnicola,Stylurus_amnicola,No,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Dunkle, 2000)","Natural History Museum, Odonata collection, UK",,
Sympetrum internum,Sympetrum_internum,Yes,,,Contact,,,,,,,,,,,Latty 2006,,,,
Sympetrum corruptum,Sympetrum_corruptum,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Dunkle, 2000)","Natural History Museum, Odonata collection, UK",,
Sympetrum illotum,Sympetrum_illotum,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,
Telebasis salva ,Telebasis_salva,No,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,
Tramea lacerata,Tramea_lacerata,Yes,,,,,Tandem,,Pond,Medium,,Lentic,,,,Thornton and Switzer 2015,,,,
Tramea lacerata,Tramea_lacerata,No,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Manolis, 2003)",,
Tramea onusta,Tramea_onusta,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Dunkle, 2000)","Natural History Museum, Odonata collection, UK",,
Zygonyx torridus,Zygonyx_torridus,Yes,,,Both,,Both,,,,,Both,,,,Martens 2015,,,,
Acisoma panorpoides,Acisoma_panorpoides,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Hassan, 1978)",,,
Aeshna cyanea,Aeshna_cyanea,Yes,,Flier,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Poethke & Kaiser, 1987)",,,
Aeshna mixta,Aeshna_mixta,Yes,,Flier,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Sonehara, 1964)",,,
Agriocnemis femina,Agriocnemis_femina,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Ikeda & Sawano, 1965)",,,
Anax papuensis,Anax_papuensis,Yes,,Flier,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Rowe, 1987)",,,
Anax parthenope,Anax_parthenope,Yes,,Flier,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Sakagami et al., 1974)",,,
Anax walsinghami,Anax_walsinghami,Yes,,Flier,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Córdoba-Aguilar, 1995)",,,
Argia chelata,Argia_chelata,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Hamilton & Montgomerie, 1989)",,,
Austrolestes colensonis,Austrolestes_colensonis,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Corbet, 1999)",,,
Brechmorhoga pertinax,Brechmorhoga_pertinax,Yes,,Flier,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Alcock, 1987)",,,
Brechmorhoga vivax,Brechmorhoga_vivax,Yes,,Flier,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Córdoba-Aquilar, 1994)",,,
Cacoides latro,Cacoides_latro,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Moore & Machado, 1992)",,,
Calopteryx haemorrhoidalis,Calopteryx_haemorrhoidalis,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Heymer, 1972)",,,
Calopteryx splendens,Calopteryx_splendens,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Zahner, 1960)",,,
Calopteryx virgo,Calopteryx_virgo,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Zahner, 1960)",,,
Chalcolestes viridis,Chalcolestes_viridis,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Corbet & May, 2008)",,,
Copera annulata,Copera_annulata,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Chowdhury & Karim, 1994)",,,
Copera marginipes,Copera_marginipes,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Furtado, 1974)",,,
Copera vittata,Copera_vittata,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Furtado, 1974)",,,
Cordulia aenea,Cordulia_aenea,Yes,,Flier,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(May, 1981)",,,
Cordulia shurtleffii,Cordulia_shurtleffii,Yes,,Flier,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Hilton, 1983)",,,
Coryphaeschna adnexa,Coryphaeschna_adnexa,Yes,,Flier,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Dunkle, 1989)",,,
Coryphaeschna diapyra,Coryphaeschna_diapyra,Yes,,Flier,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Paulson, 1994)",,,
Crocothemis servilia,Crocothemis_servilia,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Mitra, 1994)",,,
Disparoneura quadrimaculata,Disparoneura_quadrimaculata,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Corbet & May, 2008)",,,
Epitheca cynosura,Epitheca_cynosura,Yes,,Flier,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Kormondy, 1961)",,,
