Species,Species_with_underscore,Formatted_species,Suborder,Family,Territorial,Male territorial polymorphism,Aggressiveness,Lek,Male site fidelity (length of time) ,Territory size,Sex polymorphisms,Sex dimorphisms,Geo polymorphism,Mass of male,Mass of female,Male body length (mm),Max male body length,Female body length (mm),Max female body length,Length of male tibia (mm),Male forewing length,Male hindwing length (mm),Female forewing length (mm),Female hindwing length (mm),Species distribution,Migratory,JNCC Red List status,Conservation status IUCN,Extinction risk category,Oviposition type (endophytic vs exophytic),Oviposition substrate,Oviposition,Number of oviposition sites,Lotic vs lentic (breeding habitat),Habitat breadth,Flier vs percher,Mate guarding,Agonistic display,Courtship,Aquatic habitat,Ecozone,Climate,Habitat openness,Body pattern,Body colourtype,Body colour,Territorial wing pigmentation,Non-territorial wing pigmentation,Wing pigmentation,Wing pigment pattern,Wing pigment extent discrete,Wing pigment extent continuous,Wing pigment symmetry,Wing pigment dimorphism,Wing pigment colour,Wing pigment placement,Wing pigment colour type,Female has wing pigment,Female wing pigment extent discrete,Female wing pigment extent continuous,Female wing pigment placement,Flight period - start,Flight period - end,Flight period duration (months),Reference,Original source,Original source #2,Original source #3,Original source #4,Original source - body size,Original source - flight period,Original source - distribution status,Original source - migratory,Original source - distribution status,Original source - red list,Original source - oviposition,Original source - breeding habitat,Original source - breeding habitat
Celithemis elisa,Celithemis_elisa,Celithemis_elisa,Anisoptera,Libellulidae,No,,,,,,males,strong,monomorphic,,,31.5,,NA,,,NA,27.5,NA,NA,,,,,,,,,,,,Percher,Contact,,,lake,nearctic,BSk,open,spotted,pigment,black,,,yes,NA,50,0.32,hindwing more pigment,weakly dimorphic,black,basal,pigment,yes,50,0.32,basal,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Celithemis eponina,Celithemis_eponina,Celithemis_eponina,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,strong,monomorphic,,,39,,NA,,,NA,33,NA,NA,,,,,,,,,,,,Percher,Contact,,,lake,nearctic,BSh,open,striped,pigment,black,,,yes,Stripes,100,1,symmetric pigment,not dimorphic,amber,full,pigment,yes,100,1,full,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Celithemis fasciata,Celithemis_fasciata,Celithemis_fasciata,Anisoptera,Libellulidae,No,,,,,,males,strong,males polymorphic,,,34,,NA,,,NA,28.5,NA,NA,,,,,,,,,,,,Percher,Contact,,,lake,nearctic,BSh,semi,plain,pigment,black,,,yes,NA,50,NA,NA,NA,NA,basal,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Celithemis martha,Celithemis_martha,Celithemis_martha,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,strong,monomorphic,,,29,,NA,,,NA,25.5,NA,NA,,,,,,,,,,,,Percher,Contact,,,lake,nearctic,Cfa,open,plain,pigment,black,,,yes,NA,25,NA,NA,NA,NA,basal,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Paulson (2012),,,,,,,,,,,,
Ceratogomphus pictus,Ceratogomphus_pictus,Ceratogomphus_pictus,Anisoptera,Gomphidae,Yes,,,,,,NA,medium,NA,,,49.5,,NA,,,NA,29,NA,NA,,,,,,,,,,,,Percher,,,,lake,afrotropical,NA,open,striped,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Dijkstra and Clausnitzer (2014),,,,,,,,,,,,
Ceratogomphus triceraticus,Ceratogomphus_triceraticus,Ceratogomphus_triceraticus,Anisoptera,Gomphidae,Yes,,,,,,NA,weak,NA,,,60,,NA,,,NA,33,NA,NA,,,,,,,,,,,,Percher,Contact,,,stream,afrotropical,BSk,semi,striped,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Samways (2008),,,,,,,,,,,,
Ceriagrion glabrum,Ceriagrion_glabrum,Ceriagrion_glabrum,Zygoptera,Coenagrionidae,No,,,,,,monomorphic,strong,NA,,,40,,41,,,NA,20,NA,NA,,,,,,,,,,,,Percher,,,,stream,afrotropical,NA,semi,plain,pigment,brown,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Samways (2008),,,,,,,,,,,,
Ceriagrion suave,Ceriagrion_suave,Ceriagrion_suave,Zygoptera,Coenagrionidae,No,,,,,,NA,weak,NA,,,38,,41,,,NA,20.25,NA,NA,,,,,,,,,,,,Percher,,,,stream,afrotropical,NA,semi,plain,pigment,orange,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Samways (2008),,,,,,,,,,,,
Ceriagrion tenellum,Ceriagrion_tenellum,Ceriagrion_tenellum,Zygoptera,Coenagrionidae,No,,,,,,females,strong,monomorphic,,,30,,NA,,,NA,19,NA,NA,,,,,,,,,,,,Percher,Contact,,,stream,palearctic,NA,open,plain,pigment,green,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Askew (1988),,,,,,,,,,,,
Chlorocypha consueta,Chlorocypha_consueta,Chlorocypha_consueta,Zygoptera,Chlorocyphidae,Yes,,,,,,NA,strong,NA,,,31,,29,,,NA,24,NA,NA,,,,,,,,,,,,Percher,,,,stream,afrotropical,NA,closed,striped,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Samways (2008),,,,,,,,,,,,
Chlorolestes tessellatus,Chlorolestes_tessellatus,Chlorolestes_tessellatus,Zygoptera,Synlestidae,Yes,,,,,,monomorphic,medium,NA,,,53,,50,,,NA,31,NA,NA,,,,,,,,,,,,Percher,,,,stream,afrotropical,NA,closed,plain,pigment,brown,,,yes,NA,50,0.55,symmetric pigment,NA,black,mixed,pigment,no,NA,NA,NA,,,,"(Waller et al., 2019)",Samways (2008),,,,,,,,,,,,
Chromagrion conditum,Chromagrion_conditum,Chromagrion_conditum,Zygoptera,Coenagrionidae,No,,,,,,females,strong,monomorphic,,,35,,NA,,,NA,23,NA,NA,,,,,,,,,,,,Flier,Contact,,,pond,nearctic,Cfa,closed,spotted,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Coenagrion intermedium,Coenagrion_intermedium,Coenagrion_intermedium,Zygoptera,Coenagrionidae,No,,,,,,females,weak,monomorphic,,,35.5,,NA,,,NA,20,NA,NA,,,,,,,,,,,,Percher,Contact,,,stream,palearctic,NA,closed,striped,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Dijkstra and Lewington (2006),,,,,,,,,,,,
Cora marina,Cora_marina,Cora_marina,Zygoptera,Polythoridae,Yes,,,,,,males,strong,NA,,,44,,40,,,28,NA,NA,29,,,,,,,,,,,,Percher,Non-contact,,,stream,nearctic,NA,closed,spotted,pigment,black,,,yes,NA,25,NA,NA,NA,NA,tip,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Herrara (2006),,,,,,,,,,,,
Cordulegaster diadema,Cordulegaster_diadema,Cordulegaster_diadema,Anisoptera,Cordulegastridae,No,,,,,,monomorphic,medium,NA,,,81,,NA,,,NA,48,NA,NA,,,,,,,,,,,,Flier,No,,,stream,nearctic,NA,closed,spotted,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Cordulegaster erronea,Cordulegaster_erronea,Cordulegaster_erronea,Anisoptera,Cordulegastridae,Yes,,,,,,monomorphic,medium,monomorphic,,,70.5,,NA,,,NA,46.5,NA,NA,,,,,,,,,,,,Flier,,,,stream,nearctic,Cfa,closed,spotted,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Paulson (2012),,,,,,,,,,,,
Cordulegaster maculata,Cordulegaster_maculata,Cordulegaster_maculata,Anisoptera,Cordulegastridae,Yes,,,,,,females,weak,males polymorphic,,,70,,NA,,,NA,43.5,NA,NA,,,,,,,,,,,,Flier,,,,pond,nearctic,Cfa,closed,spotted,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Cordulia aenea,Cordulia_aenea,Cordulia_aenea,Anisoptera,Corduliidae,Yes,,,,,,NA,weak,NA,,,51,,NA,,,NA,32,NA,NA,,,,,,,,,,,,Flier,No,,,lake,palearctic,NA,closed,plain,pigment,brown,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Dijkstra and Lewington (2006),,,,,,,,,,,,
Coryphaeschna adnexa,Coryphaeschna_adnexa,Coryphaeschna_adnexa,Anisoptera,Aeshnidae,Yes,,,,,,monomorphic,weak,NA,,,67.5,,67.5,,,NA,43.5,NA,46.5,,,,,,,,,,,,Flier,No,,,lake,nearctic,Af,closed,plain,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Herrara (2006),,,,,,,,,,,,
Crenigomphus hartmanni,Crenigomphus_hartmanni,Crenigomphus_hartmanni,Anisoptera,Gomphidae,Yes,,,,,,NA,weak,NA,,,48.5,,52.5,,,NA,29,NA,NA,,,,,,,,,,,,Percher,Contact,,,stream,afrotropical,NA,semi,spotted,pigment,brown,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Dijkstra and Clausnitzer (2014),,,,,,,,,,,,
Crocothemis erythraea,Crocothemis_erythraea,Crocothemis_erythraea,Anisoptera,Libellulidae,Yes,,,,,,females,strong,NA,,,39,,NA,,,NA,29.5,NA,NA,,,,,,,,,,,,Percher,Non-contact,,,lake,afrotropical,BSh,open,plain,pigment,red,,,yes,NA,10,0.03,hindwing more pigment,not dimorphic,brown,basal,pigment,yes,10,0.05,basal,,,,"(Waller et al., 2019)",Dijkstra and Clausnitzer (2014),,,,,,,,,,,,
Crocothemis sanguinolenta,Crocothemis_sanguinolenta,Crocothemis_sanguinolenta,Anisoptera,Libellulidae,Yes,,,,,,NA,medium,NA,,,35,,NA,,,NA,27.5,NA,NA,,,,,,,,,,,,Percher,,,,pond,afrotropical,NA,semi,plain,pigment,black,,,yes,NA,10,0.03,hindwing more pigment,weakly dimorphic,amber,basal,pigment,yes,10,0.05,basal,,,,"(Waller et al., 2019)",Dijkstra and Clausnitzer (2014),,,,,,,,,,,,
Crocothemis servilia,Crocothemis_servilia,Crocothemis_servilia,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,strong,monomorphic,,,35.5,,44,,,NA,27.5,NA,34,,,,,,,,,,,,Percher,Non-contact,,,ephemeral,indomalaya,Af,open,plain,pigment,black,,,yes,NA,10,0.03,hindwing more pigment,not dimorphic,brown,basal,pigment,yes,10,0.06,basal,,,,"(Waller et al., 2019)",Dijkstra and Lewington (2006),,,,,,,,,,,,
Dasythemis esmeralda,Dasythemis_esmeralda,Dasythemis_esmeralda,Anisoptera,Libellulidae,Yes,,,,,,NA,strong,NA,,,32,,NA,,,NA,24.5,NA,25,,,,,,,,,,,,Percher,,,,stream,nearctic,NA,open,plain,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Heckman (2006),,,,,,,,,,,,
Diplacodes lefebvrii,Diplacodes_lefebvrii,Diplacodes_lefebvrii,Anisoptera,Libellulidae,Yes,,,,,,males,strong,NA,,,30,,NA,,,NA,24,NA,NA,,,,,,,,,,,,Percher,No,,,river,afrotropical,BSh,semi,plain,pigment,black,,,yes,NA,25,NA,NA,NA,NA,basal,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Samways (2008),,,,,,,,,,,,
Diplacodes nebulosa,Diplacodes_nebulosa,Diplacodes_nebulosa,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,strong,NA,,,24,,NA,,,NA,18,NA,18,,,,,,,,,,,,,,,,pond,australasia,Af,semi,plain,pigment,black,,,yes,NA,25,0.19,symmetric pigment,strongly dimorphic,black,tip,pigment,no,NA,NA,NA,,,,"(Waller et al., 2019)",Nair (2011),,,,,,,,,,,,
Dysphaea ethela,Dysphaea_ethela,Dysphaea_ethela,Zygoptera,Euphaeidae,Yes,,,,,,monomorphic,strong,NA,,,NA,,NA,,,NA,33,NA,33,,,,,,,,,,,,Percher,,,,stream,indomalaya,Aw,NA,plain,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Nair (2011),,,,,,,,,,,,
Dythemis fugax,Dythemis_fugax,Dythemis_fugax,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,strong,monomorphic,,,47,,NA,,,NA,37,NA,NA,,,,,,,,,,,,Flier,No,,,lake,nearctic,BSh,semi,spotted,pigment,black,,,yes,NA,25,0.18,symmetric pigment,not dimorphic,brown,basal,pigment,yes,25,0.18,basal,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Dythemis maya,Dythemis_maya,Dythemis_maya,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,strong,NA,,,44,,NA,,,NA,28,NA,NA,,,,,,,,,,,,Flier,Non-contact,,,stream,nearctic,BSh,NA,plain,pigment,red,,,yes,NA,25,NA,NA,NA,NA,basal,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Dythemis nigrescens,Dythemis_nigrescens,Dythemis_nigrescens,Anisoptera,Libellulidae,Yes,,,,,,NA,strong,monomorphic,,,42.5,,NA,,,NA,33.5,NA,NA,,,,,,,,,,,,Flier,,,,lake,nearctic,BSh,open,plain,pigment,black,,,yes,NA,25,NA,NA,NA,NA,tip,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Dythemis sterilis,Dythemis_sterilis,Dythemis_sterilis,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,weak,NA,,,39.5,,37.5,,,NA,28,NA,28,,,,,,,,,,,,Percher,Non-contact,,,lake,nearctic,NA,open,spotted,pigment,black,,,yes,NA,25,NA,NA,NA,NA,tip,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Herrara (2006),,,,,,,,,,,,
Dythemis velox,Dythemis_velox,Dythemis_velox,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,weak,monomorphic,,,44.5,,NA,,,NA,33.5,NA,NA,,,,,,,,,,,,Percher,,,,lake,nearctic,Af,closed,spotted,pigment,black,,,yes,NA,25,NA,NA,NA,NA,tip,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Elattoneura frenulata,Elattoneura_frenulata,Elattoneura_frenulata,Zygoptera,Protoneuridae,No,,,,,,NA,weak,NA,,,34,,34,,,NA,18.5,NA,NA,,,,,,,,,,,,Percher,,,,stream,afrotropical,NA,open,plain,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Samways (2008),,,,,,,,,,,,
Elga leptostyla,Elga_leptostyla,Elga_leptostyla,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,weak,NA,,,27,,NA,,,NA,22.5,NA,21,,,,,,,,,,,,Percher,No,,,stream,nearctic,NA,closed,spotted,pigment,black,,,yes,NA,25,NA,NA,NA,NA,basal,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Heckman (2006),,,,,,,,,,,,
Enallagma boreale,Enallagma_boreale,Enallagma_boreale,Zygoptera,Coenagrionidae,No,,,,,,females,weak,NA,,,32,,NA,,,NA,19.5,NA,NA,,,,,,,,,,,,Percher,Contact,,,lake,nearctic,BSk,semi,spotted,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Enallagma novaehispaniae,Enallagma_novaehispaniae,Enallagma_novaehispaniae,Zygoptera,Coenagrionidae,No,,,,,,females,strong,NA,,,32,,31,,,NA,18,NA,19,,,,,,,,,,,,Percher,Contact,,,pond,nearctic,Af,semi,plain,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Abbott (2011),,,,,,,,,,,,
Enallagma praevarum,Enallagma_praevarum,Enallagma_praevarum,Zygoptera,Coenagrionidae,No,,,,,,females,strong,NA,,,30.5,,NA,,,NA,18,NA,NA,,,,,,,,,,,,Percher,No,,,lake,nearctic,Am,semi,spotted,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Abbott (2011),,,,,,,,,,,,
Enallagma vernale,Enallagma_vernale,Enallagma_vernale,Zygoptera,Coenagrionidae,No,,,,,,females,weak,monomorphic,,,32,,NA,,,NA,19,NA,NA,,,,,,,,,,,,Percher,Contact,,,lake,nearctic,Dfb,NA,spotted,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Paulson (2012),,,,,,,,,,,,
Epitheca bimaculata,Epitheca_bimaculata,Epitheca_bimaculata,Anisoptera,Corduliidae,Yes,,,,,,NA,strong,NA,,,60,,59,,,NA,40,NA,39.5,,,,,,,,,,,,Flier,No,,,lake,palearctic,Dfa,closed,plain,pigment,black,,,yes,NA,25,0.18,hindwing more pigment,not dimorphic,black,basal,pigment,yes,25,0.2,basal,,,,"(Waller et al., 2019)",Dijkstra and Lewington (2006),,,,,,,,,,,,
Epitheca costalis,Epitheca_costalis,Epitheca_costalis,Anisoptera,Corduliidae,Yes,,,,,,monomorphic,weak,females polymorphic,,,43,,NA,,,NA,28.5,NA,NA,,,,,,,,,,,,Flier,,,,lake,nearctic,Cfa,closed,spotted,pigment,black,,,yes,NA,10,0.01,hindwing more pigment,not dimorphic,black,basal,pigment,yes,10,0.01,basal,,,,"(Waller et al., 2019)",Paulson (2012),,,,,,,,,,,,
Epitheca sepia,Epitheca_sepia,Epitheca_sepia,Anisoptera,Corduliidae,Yes,,,,,,monomorphic,medium,NA,,,44,,NA,,,NA,29,NA,NA,,,,,,,,,,,,Flier,,,,lake,nearctic,Af,NA,spotted,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Paulson (2012),,,,,,,,,,,,
Epitheca stella,Epitheca_stella,Epitheca_stella,Anisoptera,Corduliidae,Yes,,,,,,monomorphic,medium,NA,,,44,,NA,,,NA,29.5,NA,NA,,,,,,,,,,,,Flier,,,,lake,nearctic,Af,NA,spotted,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Paulson (2012),,,,,,,,,,,,
Erpetogomphus lampropeltis,Erpetogomphus_lampropeltis,Erpetogomphus_lampropeltis,Anisoptera,Gomphidae,Yes,,,,,,monomorphic,medium,NA,,,48.5,,NA,,,NA,31,NA,NA,,,,,,,,,,,,Flier,,,,stream,nearctic,BSh,open,spotted,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Erythemis attala,Erythemis_attala,Erythemis_attala,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,strong,monomorphic,,,43,,NA,,,NA,35,NA,34,,,,,,,,,,,,Percher,,,,lake,nearctic,BSh,semi,plain,pigment,black,,,yes,NA,25,NA,NA,NA,NA,basal,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Kompier (2015),,,,,,,,,,,,
Erythemis collocata,Erythemis_collocata,Erythemis_collocata,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,strong,monomorphic,,,41,,NA,,,NA,31.5,NA,NA,,,,,,,,,,,,Flier,Non-contact,,,lake,nearctic,BSh,NA,plain,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Erythemis haematogastra,Erythemis_haematogastra,Erythemis_haematogastra,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,strong,NA,,,47.5,,46,,,NA,33,NA,34,,,,,,,,,,,,,,,,stream,nearctic,NA,NA,plain,pigment,brown,,,yes,NA,25,NA,NA,NA,NA,basal,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Kompier (2015),,,,,,,,,,,,
Erythemis mithroides,Erythemis_mithroides,Erythemis_mithroides,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,weak,monomorphic,,,42,,36,,,NA,32.5,NA,30,,,,,,,,,,,,Flier,,,,lake,nearctic,BSh,closed,plain,pigment,red,,,yes,NA,25,NA,NA,NA,NA,basal,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Heckman (2006),,,,,,,,,,,,
Erythemis peruviana,Erythemis_peruviana,Erythemis_peruviana,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,strong,monomorphic,,,39.5,,NA,,,NA,31,NA,NA,,,,,,,,,,,,Percher,,,,lake,nearctic,BSh,open,plain,pigment,black,,,yes,NA,25,NA,NA,NA,NA,basal,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Heckman (2006),,,,,,,,,,,,
Erythemis plebeja,Erythemis_plebeja,Erythemis_plebeja,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,strong,monomorphic,,,44.5,,NA,,,NA,33.5,NA,NA,,,,,,,,,,,,Percher,Non-contact,,,ephemeral,nearctic,Af,open,plain,pigment,black,,,yes,NA,25,NA,NA,NA,NA,basal,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Kompier (2015),,,,,,,,,,,,
Erythemis simplicicollis,Erythemis_simplicicollis,Erythemis_simplicicollis,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,strong,females polymorphic,,,41,,NA,,,NA,31.5,NA,NA,,,,,,,,,,,,Percher,Non-contact,,,lake,nearctic,Af,closed,plain,pruinescence,blue,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Erythemis vesiculosa,Erythemis_vesiculosa,Erythemis_vesiculosa,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,weak,monomorphic,,,58.5,,59,,,NA,38,NA,40,,,,,,,,,,,,Flier,,,,ephemeral,nearctic,Af,closed,plain,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Herrara (2006),,,,,,,,,,,,
Erythrodiplax basifusca,Erythrodiplax_basifusca,Erythrodiplax_basifusca,Anisoptera,Libellulidae,Yes,,,,,,NA,strong,monomorphic,,,28,,NA,,,NA,23.5,NA,NA,,,,,,,,,,,,Percher,Contact,,,stream,nearctic,BSh,NA,plain,pigment,black,,,yes,NA,25,NA,NA,NA,NA,basal,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Erythrodiplax berenice,Erythrodiplax_berenice,Erythrodiplax_berenice,Anisoptera,Libellulidae,Yes,,,,,,females,strong,females polymorphic,,,33,,30,,,NA,24,NA,NA,,,,,,,,,,,,Percher,Contact,,,ephemeral,nearctic,Af,closed,plain,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Erythrodiplax castanea,Erythrodiplax_castanea,Erythrodiplax_castanea,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,strong,NA,,,29,,NA,,,NA,26.5,NA,26,,,,,,,,,,,,Percher,,,,pond,nearctic,NA,open,plain,pigment,brown,,,yes,NA,25,NA,NA,NA,NA,basal,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Heckman (2006),,,,,,,,,,,,
Erythrodiplax fervida,Erythrodiplax_fervida,Erythrodiplax_fervida,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,strong,NA,,,33,,32,,,NA,25,NA,26,,,,,,,,,,,,Percher,Non-contact,,,stream,neotropical,NA,closed,plain,pigment,black,,,yes,NA,25,NA,NA,NA,NA,basal,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Herrara (2006),,,,,,,,,,,,
Erythrodiplax funerea,Erythrodiplax_funerea,Erythrodiplax_funerea,Anisoptera,Libellulidae,Yes,,,,,,females,strong,monomorphic,,,38.5,,41,,,NA,29,NA,27.5,,,,,,,,,,,,Percher,,,,ephemeral,nearctic,BSh,closed,plain,pigment,black,,,yes,NA,75,NA,NA,NA,NA,basal,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Herrara (2006),,,,,,,,,,,,
Erythrodiplax fusca,Erythrodiplax_fusca,Erythrodiplax_fusca,Anisoptera,Libellulidae,Yes,,,,,,males,strong,NA,,,27,,27.5,,,NA,21.5,NA,22.5,,,,,,,,,,,,Percher,Non-contact,,,lake,nearctic,Cfa,semi,plain,pigment,black,,,yes,NA,10,0.05,hindwing more pigment,not dimorphic,brown,basal,pigment,yes,10,0.05,basal,,,,"(Waller et al., 2019)",Herrara (2006),,,,,,,,,,,,
Erythrodiplax minuscula,Erythrodiplax_minuscula,Erythrodiplax_minuscula,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,strong,monomorphic,,,26,,NA,,,NA,19,NA,NA,,,,,,,,,,,,Percher,Non-contact,,,lake,nearctic,Af,NA,plain,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Erythrodiplax umbrata,Erythrodiplax_umbrata,Erythrodiplax_umbrata,Anisoptera,Libellulidae,Yes,,,,,,females,strong,monomorphic,,,41.5,,39.5,,,NA,29.75,NA,33,,,,,,,,,,,,Flier,Non-contact,,,ephemeral,nearctic,Af,closed,plain,pigment,black,,,yes,Stripes,50,0.35,symmetric pigment,strongly dimorphic,black,mixed,pigment,no,0,0,NA,,,,"(Waller et al., 2019)",Herrara (2006),,,,,,,,,,,,
Gomphidia kelloggi,Gomphidia_kelloggi,Gomphidia_kelloggi,Anisoptera,Gomphidae,Yes,,,,,,monomorphic,medium,NA,,,NA,,NA,,,NA,46,NA,48,,,,,,,,,,,,Percher,,,,stream,indomalaya,NA,NA,spotted,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Tze-wai et al (2011),,,,,,,,,,,,
Gomphidia quarrei,Gomphidia_quarrei,Gomphidia_quarrei,Anisoptera,Gomphidae,Yes,,,,,,NA,medium,NA,,,61,,NA,,,NA,35,NA,NA,,,,,,,,,,,,Percher,No,,,river,afrotropical,NA,open,spotted,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Dijkstra and Clausnitzer (2014),,,,,,,,,,,,
Gomphus graslinii,Gomphus_graslinii,Gomphus_graslinii,Anisoptera,Gomphidae,No,,,,,,NA,strong,NA,,,49,,NA,,,NA,28.5,NA,29.5,,,,,,,,,,,,Percher,No,,,stream,palearctic,NA,semi,spotted,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Dijkstra and Lewington (2006),,,,,,,,,,,,
